"name","abbrev","utc_offset","is_dst"
"America/Santiago","-03","-03:00:00",True
"America/Santo_Domingo","AST","-04:00:00",False
"America/Sao_Paulo","-03","-03:00:00",False
"America/Scoresbysund","-01","-01:00:00",False
"America/Shiprock","MST","-07:00:00",False
"America/Sitka","AKST","-09:00:00",False
"America/St_Barthelemy","AST","-04:00:00",False
"America/St_Johns","NST","-03:30:00",False
"America/St_Kitts","AST","-04:00:00",False
"America/St_Lucia","AST","-04:00:00",False
"America/St_Thomas","AST","-04:00:00",False
"America/St_Vincent","AST","-04:00:00",False
"America/Swift_Current","CST","-06:00:00",False
"America/Tegucigalpa","CST","-06:00:00",False
"America/Thule","AST","-04:00:00",False
"America/Thunder_Bay","EST","-05:00:00",False
"America/Tijuana","PST","-08:00:00",False
"America/Toronto","EST","-05:00:00",False
"America/Tortola","AST","-04:00:00",False
"America/Vancouver","PST","-08:00:00",False
"America/Virgin","AST","-04:00:00",False
"America/Whitehorse","MST","-07:00:00",False
"America/Winnipeg","CST","-06:00:00",False
"America/Yakutat","AKST","-09:00:00",False
"America/Yellowknife","MST","-07:00:00",False
